65660,65660,3088
65660,65660,3529
65660,65660,3971
65660,65660,4412
65660,65660,4853
65660,65660,5294
65660,65660,5735
75040,75040,3088
75040,75040,3529
75040,75040,3971
75040,75040,4412
75040,75040,4853
75040,75040,5294
75040,75040,5735
84420,84420,3088
84420,84420,3529
84420,84420,3971
84420,84420,4412
84420,84420,4853
84420,84420,5294
84420,84420,5735
93800,93800,3088
93800,93800,3529
93800,93800,3971
93800,93800,4412
93800,93800,4853
93800,93800,5294
93800,93800,5735
103180,103180,3088
103180,103180,3529
103180,103180,3971
103180,103180,4412
103180,103180,4853
103180,103180,5294
103180,103180,5735
112560,112560,3088
112560,112560,3529
112560,112560,3971
112560,112560,4412
112560,112560,4853
112560,112560,5294
112560,112560,5735
121940,121940,3088
121940,121940,3529
121940,121940,3971
121940,121940,4412
121940,121940,4853
121940,121940,5294
121940,121940,5735
